Correct Sentence,Errneous Sentence,Error Type,Error Subtype,Error Description,Grammarly,Ginger,ProWrittingAid,LanguageTools,After thr Deadline
The child who has a rash was just diagnosed with measles./ The child has a rash.,The child who has a rash.,Sentence Structure Error,Fragment error,missing verb,YES,NO,NO,NO,NO
"Since the drugs have many side effects, the patient should be monitored/The drugs have many side effects. ",Since the drugs have many side effects.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,YES,NO
"After the doctor performed the operation, the patient died./The doctor performed the operation; the patient died./The doctor performed the operation. The patient died.",The doctor performed the operation the patient died.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"Although the doctor performed the operation, the patient died/The doctor performed the operation; the patient died./The doctor performed the operation. The patient died.","The doctor performed the operation, the patient died.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
We have hundreds of pages of reading to do; it will be impossible to finish it all before the exam. / We have hundreds of pages of reading to do. it will be impossible to finish it all before the exam. ,"We have hundreds of pages of reading to do, it will be impossible to finish it all before the exam.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
"I tried to clean the house, but I gave up and watched soap operas instead.","I tried to clean the house, I gave up and watched soap operas instead. ",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
"I repaired all the structural errors in my paper, and then I turned it in. ","I repaired all the structural errors in my paper, then I turned it in.",Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
Sentence fragments are confusing and distracting to readers.,Confusing and distracting to readers. ,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
" Because they are confusing and distracting to readers, writers should generally avoid sentence fragments.", Because they are confusing and distracting to readers.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
" They gossiped about many things at lunch; they always have the most to say about their coworkers./ They gossiped about many things at lunch. They always have the most to say about their coworkers./Although they gossiped about many things at lunch, they always have the most to say about their coworkers.",They gossiped about many things at lunch they always have the most to say about their coworkers.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"Although the result of the study was inconclusive, the committee decided to implement the policy.",Although the result of the study was inconclusive.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
"If the result of the study confirmed the writer’s hypothesis, it would be a major breakthrough in the world of biochemistry.", If the result of the study confirmed the writer’s hypothesis.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
The study conducted by the university is  helpfull.,The study conducted by the university.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
